song:stairsteps_pasado	appears_on	album:stairsteps_2nd_resurrection
song:earth_wind_fire_yearnin_learnin	appears_on	album:earth_wind_fire_that_s_the_way_of_the_world
song:krs_one_step_into_a_world_remix	performed_by	artist:krs_one
song:incredible_bongo_band_bongo_rock_73	in_key_root	key:E
song:pete_rock_take_your_time	in_key_root	key:E
song:sunshyne_ain_t_no_woman_like_the_one_i_got	has_tempo	tempo:mid_tempo
song:deodato_jivin	in_key_root	key:G
song:bobby_hutcherson_ummh	has_mode	mode:minor
song:master_jay_and_michael_dee_t_s_o_b	suitable_for	set:peak_hour
song:cecil_holmes_soulful_love	has_mode	mode:major
song:bay_area_funk_2_lenient_with_my_love	in_key_root	key:C
song:the_dramatics_jim_what_s_wrong_with_him	has_genre	genre:soul
song:big_l_mvp	suitable_for	set:warm_up
song:james_brown_time_is_running_out	suitable_for	set:peak_hour
song:young_holt_unlimited_raindrops_keep_fallin_on_my_head	has_genre	genre:jazz
song:parliament_unfunky_ufo	in_key_root	key:A
song:cannonball_adderley_introduction	in_key_root	key:F
song:donald_byrd_woman_of_the_world	suitable_for	set:peak_hour
album:j_dilla_yancey_boys	album_artist	artist:j_dilla
song:les_baxter_polevitzian_dance	has_genre	genre:electronic
song:maxayn_good_things	appears_on	album:maxayn_mindful
album:various_artists_personal_space	album_artist	artist:various_artists
song:dutch_robinson_cold_day_in_december	suitable_for	set:warm_up
song:muddy_waters_tom_cat	has_mode	mode:minor
song:warren_g_nate_dogg_regulate	has_tempo	tempo:mid_tempo
song:new_haven_women_s_liberation_rock_band_papa	has_genre	genre:rock
song:billy_ocean_nights_feel_like_getting_down	suitable_for	set:peak_hour
song:bill_withers_i_m_her_daddy	suitable_for	set:warm_up
song:milt_jackson_the_metal_melter	in_key_root	key:F
song:public_enemy_brothers_gonna_work_it_out	has_genre	genre:hip_hop
song:fred_wesley_four_play	in_key_root	key:B
song:eddie_harris_tampion	has_tempo	tempo:fast
song:gil_scott_heron_under_the_hammer	in_key_root	key:A
song:black_heat_feel_like_a_child	has_tempo	tempo:very_slow
song:incredible_bongo_band_last_bongo_in_belgium	has_tempo	tempo:slow
song:isaac_hayes_we_need_eachother_girl	suitable_for	set:cool_down
song:henry_mancini_the_sound_of_philadelphia	suitable_for	set:peak_hour
song:dizzy_gillespie_let_the_sunshine_in	has_mode	mode:major
song:john_w_anderson_the_flag	has_genre	genre:soul
song:barry_white_people_of_tomorrow_are_the_children_of_today	performed_by	artist:barry_white
song:astro_disc_expansion	suitable_for	set:peak_hour
song:ice_cube_it_was_a_good_day	suitable_for	set:warm_up
song:5th_dimension_this_is_your_life	in_key_root	key:F
song:minnie_riperton_alone_in_brewster_bay	appears_on	album:minnie_riperton_adventures_in_paradise
album:brother_jack_mcduff_getting_our_thing_together	album_artist	artist:brother_jack_mcduff
album:smokey_robinson_the_miracles_special_occasion	album_artist	artist:smokey_robinson_the_miracles
song:michael_jackson_billie_jean	in_key_root	key:F#
song:the_j_b_s_you_can_have_watergate	performed_by	artist:the_j_b_s
song:david_axelrod_reverie	has_genre	genre:pop
song:pitch_black_hold_me_down	has_genre	genre:hip_hop
song:smif_n_wessun_sound_bwoy_bureill	performed_by	artist:smif_n_wessun
album:45_king_the_yellow_album	album_artist	artist:45_king
song:boogie_down_productions_you_must_learn_live_from_the_caucus_mountains_remix	performed_by	artist:boogie_down_productions
song:robert_lamm_love_song	has_mode	mode:major
artist:timbaland_magoo	artist_genre	genre:hip_hop
song:the_seven_song_for_my_father	performed_by	artist:the_seven
song:beatnuts_off_the_books	suitable_for	set:build
song:roy_ayers_ubiquity_evolution	suitable_for	set:peak_hour
album:rufus_thomas_did_you_heard_me	album_artist	artist:rufus_thomas
album:the_t_s_u_toronados_and_now	album_artist	artist:the_t_s_u_toronados
song:keith_murray_yeah	in_key_root	key:B
song:j_j_johnson_theme_from_man_and_boy	suitable_for	set:peak_hour
song:les_mccann_eddie_harris_the_generation_gap	has_mode	mode:minor
song:arsenal_ivory_tower	performed_by	artist:arsenal
song:the_o_jays_give_the_people_what_they_want	has_genre	genre:soul
song:archie_bell_the_drells_just_a_little_closer	has_genre	genre:soul
song:the_soul_searchers_when_will_my_eyes_see	in_key_root	key:F
song:les_mccann_eddie_harris_the_generation_gap	in_key_root	key:G
song:blue_magic_just_don_t_want_to_be_lonely	has_mode	mode:major
album:george_benson_bad_benson	album_artist	artist:george_benson
song:black_heat_zimba_ku	performed_by	artist:black_heat
song:temptations_it_s_your_thing	has_mode	mode:major
album:ramsey_lewis_trio_another_voyage	album_artist	artist:ramsey_lewis_trio
song:don_blackman_yabba_dabba_doo	suitable_for	set:build
song:alexander_gradsky_b3	appears_on	album:alexander_gradsky_utopia_a_g
song:david_axelrod_warning_talk_part_three	performed_by	artist:david_axelrod
song:showbiz_ag_bounce_ta_this	has_genre	genre:hip_hop
